FAC_DET_REP,SITE_ADDRESS,Longitude,ID,EPA_REGISTRY_ID,SITE_CITY,SITE_ZIP,Latitude,CDR_SUB_CNT,Public_CDR_SUBMISSIONS_SITE_NAME,County-State
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000349784,6650 RAMSEY STREET,-78.861600864,1846.0,110000349784,FAYETTEVILLE,28311-9318,35.16992284,19.0,GOODYEAR TIRE & RUBBER CO FAYETTEVILLE PLANT,Cumberland-NC
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000454231,1 GOODYEAR BLVD.,-98.51022,1849.0,110000454231,LAWTON,73505-9799,34.604500001,11.0,GOODYEAR TIRE & RUBBER COMPANY,Comanche-OK
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000448098,2701 W. OMAHA AVE.,-97.45095,1848.0,110000448098,NORFOLK,68701,42.017980001,2.0,GOODYEAR TIRE & RUBBER COMPANY,Madison-NE
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000447838,4021 N. 56TH ST.,-96.64413,1847.0,110000447838,LINCOLN,68504-1796,40.852860001,2.0,GOODYEAR TIRE & RUBBER COMPANY,Lancaster-NE
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110008819494,3385 SOUTH HWY 149,-93.16257,1850.0,110008819494,EAGAN,55121-2317,44.875090001,13.0,GOPHER RESOURCE LLC,Dakota-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000367380,460 GORGAS ROAD,-87.20552977,1851.0,110000367380,PARRISH,35580-5715,33.658201857,4.0,GORGAS STEAM PLANT,WALKER-AL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000348507,700 NORTH JOHNSON STREET,-80.55847,1852.0,110000348507,MONROE,28110-2650,34.987930001,25.0,GOULSTON TECHNOLOGIES,Union-NC
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000321937,340 MEADOW ROAD,-74.384255945,1853.0,110000321937,EDISON,08837-4102,40.491346638,3.0,GRACE DAVISON - EDISON,MIDDLESEX-NJ
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041055032,1800 DAVISON RD,-93.337212231,1854.0,110041055032,SULPHUR,70665-5600,30.157990001,18.0,GRACE DAVISON CATALYSTS PLANT,CALCASIEU-LA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000867214,5500 CHEMICAL ROAD,-76.56816,1855.0,110000867214,BALTIMORE,21226-1604,39.212440001,17.0,GRACE DAVISON CHEMICAL,BALTIMORE CITY-MD
