CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Penobscot,ME,2019,8/26/2019,4.39,2014509,NRS18_ME_10014,NRS_ME-10289,44.82133255,-68.70376994
Cherokee,KS,2019,8/26/2019,269.01,2014510,NRS18_KS_10141,NRS_KS-10289,37.02237885,-94.6211974
Posey,IN,2019,8/26/2019,117.445,2014511,NRS18_IN_10040,NRS_IN-10072,38.0890458,-87.93263453
Mellette,SD,2019,8/26/2019,739.32,2014512,NRS18_SD_10013,NRS_SD-10374,43.40178445,-100.9843349
Meagher,MT,2019,8/26/2019,1443.41,2014513,NRS18_MT_10112,NRS_MT-10398,46.60898417,-111.0761684
Meagher,MT,2019,8/26/2019,1479.58,2014514,NRS18_MT_10027,NRS_MT-10353,46.59422468,-111.0444186
New Castle,DE,2019,8/26/2019,16.42,2014515,NRS18_DE_10018,NRS_DE-10092,39.69224733,-75.7342312
Grafton,NH,2019,8/27/2019,274.09,2014516,NRS18_NH_10035,NRS_NH-10137,43.9031519,-71.98528329
Alleghany,VA,2019,8/27/2019,304.05,2014517,NRS18_VA_10019,NRS_VA-10144,37.79851556,-79.77552806
Johnston,OK,2019,8/26/2019,191.02,2014518,NRS18_OK_10013,NRS_OK-10062,34.22208268,-96.7068832
Muskogee,OK,2019,8/27/2019,152.61,2014519,NRS18_OK_10010,NRS_OK-10172,35.80758467,-95.3981027
Philadelphia,PA,2019,8/27/2019,32.325,2014520,NRS18_PA_10046,NRS_PA-10042,40.07336246,-75.2235382
Spencer,IN,2019,8/27/2019,115.62,2014521,NRS18_IN_10019,NRS_IN-10082,37.92797331,-87.21043043
Phillips,MT,2019,8/27/2019,685.16,2014522,NRS18_MT_10028,NRS_MT-10379,48.36583596,-108.1536959
Ulster,NY,2019,8/27/2019,39.2,2014523,NRS18_NY_10707,NRS_NY-10232,41.98257306,-74.00777223
Fairfield,SC,2019,8/27/2019,80.65,2014524,NRS18_SC_RF002,NRS_SC-10104,34.43195,-81.410234
Grand,UT,2019,8/27/2019,1243.235,2014525,NRS18_UT_10010,NRS_UT-10331,38.76149825,-109.3237165
Burt,NE,2019,8/27/2019,312.38,2014526,NRS18_NE_10059,NRS_NE-10046,41.93932856,-96.14472252
Shannon,MO,2019,8/27/2019,220.1,2014527,NRS18_MO_RF003,NRS_MO-10171,37.334444,-91.476111
Todd,SD,2019,8/27/2019,838.13,2014528,NRS18_SD_11446,NRS_SD-10599,43.08799823,-101.1786875
Bennett,SD,2019,8/26/2019,840.24,2014529,NRS18_SD_10959,NRS_SD-10595,43.36156081,-101.6937126
Hancock,ME,2019,8/27/2019,4.4,2014530,NRS18_ME_10026,NRS_ME-10322,44.59358519,-68.72522043
Butte,SD,2019,8/27/2019,829.88,2014531,NRS18_SD_10020,NRS_SD-10380,44.66903976,-103.356063
Jackson,OR,2019,8/27/2019,301.385,2014532,NRS18_OR_10012,NRS_OR-10479,42.41324033,-123.157974
Oregon,MO,2019,8/28/2019,160.17,2014533,NRS18_MO_RF005,NRS_MO-10173,36.792402,-91.331138
Grant,ND,2019,8/27/2019,604.47,2014534,NRS18_ND_10009,NRS_ND-10263,46.22148963,-101.5025463
Jefferson,WI,2019,8/28/2019,235.26,2014535,NRS18_WI_10694,NRS_WI-10236,43.02523342,-88.85448487
