,Unnamed: 0_x,CNTYNAME,PSTL_CODE,YEAR,DATE,ELEVATION,UID,SITE,UNIQUE,LAT_DD83,LON_DD83,PUBLICATION,VISIT,EPA,STATE,COMID,PROTOCOL,PCTCLINOMETER,REALM,SURVEY_YRS,County-State,Unnamed: 0_y, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,is_rising
1148,1775.0,Meade,SD,2019.0,8/13/2019,645.69,2014386.0,NRS18_SD_10040,NRS_SD-10454,44.38359639,-102.4205923,3/24/2021,1,Region_08,SD,5460124.0,BOATABLE,0.0,BOATABLE,1819.0,meade-sd,2291.0,46093.0,89.6,69.5,113.4,N/A ,7,26,14,stable,-0.3,-2.7,2.2,0
1149,839.0,Sequoyah,OK,2018.0,8/29/2018,142.53,2013396.0,NRS18_OK_10920,NRS_OK-10154,35.46898544,-94.95436269,3/24/2021,1,Region_06,OK,1543353.0,WADEABLE,0.0,WADEABLE,1819.0,sequoyah-ok,687.0,40135.0,118.8,100,140.1,N/A ,2,58,28,stable,0.1,-1.7,2,0
1150,840.0,Hidalgo,TX,2018.0,8/30/2018,26.45,2013397.0,NRS18_TX_10048,NRS_TX-10298,26.10502447,-98.29839048,3/24/2021,1,Region_06,TX,625376.0,BOATABLE,0.0,BOATABLE,1819.0,hidalgo-tx,2392.0,48215.0,84.8,81.3,88.4,N/A ,133,175,458,stable,0.5,-0.3,1.3,0
1151,843.0,Erie,PA,2018.0,8/28/2018,353.02,2013400.0,NRS18_PA_10042,NRS_PA-10123,41.89076505,-79.99304337,3/24/2021,1,Region_03,PA,9049881.0,WADEABLE,0.0,WADEABLE,1819.0,erie-pa,767.0,42049.0,117.1,109.5,125,N/A ,12,58,183,stable,0.6,-0.1,1.3,0
1152,844.0,Lawrence,PA,2018.0,8/29/2018,327.535,2013401.0,NRS18_PA_10014,NRS_PA-10052,41.02419317,-80.16322399,3/24/2021,1,Region_03,PA,10924259.0,WADEABLE,0.0,WADEABLE,1819.0,lawrence-pa,371.0,42073.0,127.9,113.8,143.3,N/A ,1,58,60,stable,0.8,-0.5,2,0
1153,1654.0,Lawrence,PA,2019.0,7/31/2019,229.835,2014258.0,NRS18_PA_10011,NRS_PA-10048,40.93107454,-80.37396527,3/24/2021,1,Region_03,PA,19464184.0,BOATABLE,0.0,BOATABLE,1819.0,lawrence-pa,371.0,42073.0,127.9,113.8,143.3,N/A ,1,58,60,stable,0.8,-0.5,2,0
1154,846.0,Corson,SD,2018.0,6/20/2018,637.285,2013403.0,NRS18_SD_10006,NRS_SD-10334,45.56322772,-101.5487173,3/24/2021,R,Region_08,SD,21832339.0,WADEABLE,0.0,WADEABLE,1819.0,corson-sd,2697.0,46031.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1155,2055.0,Corson,SD,2019.0,9/17/2019,637.285,2014671.0,NRS18_SD_10006,NRS_SD-10334,45.56322772,-101.5487173,3/24/2021,1,Region_08,SD,21832339.0,WADEABLE,0.0,WADEABLE,1819.0,corson-sd,2697.0,46031.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1156,2074.0,Corson,SD,2019.0,9/18/2019,648.93,2014690.0,NRS18_SD_10009,NRS_SD-10290,45.72850007,-101.9843773,3/24/2021,1,Region_08,SD,21831311.0,WADEABLE,0.0,WADEABLE,1819.0,corson-sd,2697.0,46031.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1157,2094.0,Corson,SD,2019.0,9/25/2019,497.54,2014710.0,NRS18_SD_11901,NRS_SD-10608,45.67609112,-100.7860983,3/24/2021,1,Region_08,SD,21834073.0,BOATABLE,0.0,BOATABLE,1819.0,corson-sd,2697.0,46031.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
