,fips,recent_trend_cat,predictions
632,17089,rising,1
633,17091,stable,2
634,17093,stable,2
635,17095,stable,2
636,17097,rising,1
637,17099,stable,2
638,17101,stable,2
639,17103,stable,2
643,17111,rising,1
644,17113,stable,2
645,17115,stable,2
646,17117,stable,2
647,17119,stable,2
648,17121,rising,1
649,17123,stable,2
650,17125,stable,2
651,17127,stable,2
655,17135,stable,2
656,17137,rising,2
658,17141,stable,2
659,17143,stable,2
666,17157,stable,2
667,17159,stable,2
668,17161,stable,2
669,17163,stable,2
671,17167,rising,1
673,17171,stable,2
676,17177,stable,2
677,17179,stable,2
679,17183,stable,2
682,17189,stable,2
685,17195,stable,2
686,17197,rising,1
688,17201,rising,1
690,18001,stable,2
691,18003,stable,2
692,18005,stable,2
693,18007,stable,2
694,18009,stable,2
695,18011,rising,1
696,18013,stable,2
697,18015,stable,2
699,18019,stable,2
701,18023,stable,2
703,18027,stable,2
704,18029,stable,2
705,18031,rising,1
706,18033,stable,2
707,18035,stable,2
709,18039,stable,2
711,18043,stable,2
712,18045,stable,2
713,18047,stable,2
714,18049,stable,2
715,18051,stable,2
716,18053,stable,2
718,18057,stable,2
719,18059,stable,1
721,18063,stable,2
722,18065,stable,2
723,18067,rising,1
724,18069,stable,2
725,18071,stable,2
726,18073,rising,1
727,18075,stable,2
728,18077,stable,2
730,18081,stable,2
731,18083,stable,1
732,18085,rising,2
733,18087,stable,2
734,18089,stable,2
735,18091,stable,2
736,18093,rising,2
737,18095,rising,1
738,18097,stable,2
739,18099,stable,2
740,18101,rising,1
741,18103,stable,2
742,18105,stable,2
743,18107,stable,2
744,18109,rising,1
745,18111,stable,2
746,18113,stable,2
748,18117,stable,2
749,18119,stable,2
750,18121,stable,2
751,18123,stable,2
752,18125,stable,2
753,18127,stable,2
754,18129,stable,2
756,18133,stable,2
757,18135,stable,2
758,18137,stable,2
759,18139,stable,1
760,18141,stable,2
762,18145,stable,2
763,18147,stable,2
765,18151,stable,2
767,18155,stable,2
768,18157,stable,2
771,18163,stable,2
772,18165,stable,2
773,18167,stable,2
774,18169,stable,1
776,18173,stable,2
778,18177,stable,2
779,18179,stable,2
780,18181,stable,2
781,18183,stable,2
784,19005,stable,2
787,19011,rising,1
788,19013,rising,1
789,19015,stable,2
790,19017,stable,2
791,19019,stable,2
792,19021,stable,2
793,19023,rising,1
795,19027,rising,1
797,19031,rising,1
798,19033,rising,1
799,19035,stable,2
800,19037,rising,1
802,19041,stable,2
804,19045,rising,1
805,19047,stable,2
806,19049,stable,2
809,19055,rising,2
810,19057,rising,2
811,19059,rising,1
812,19061,rising,1
814,19065,stable,2
815,19067,rising,1
816,19069,rising,1
817,19071,stable,2
818,19073,stable,1
819,19075,stable,2
820,19077,stable,2
821,19079,rising,1
822,19081,stable,2
823,19083,rising,1
825,19087,stable,2
826,19089,rising,2
828,19093,stable,2
831,19099,rising,2
832,19101,stable,2
833,19103,rising,1
836,19109,stable,2
837,19111,rising,1
838,19113,rising,1
839,19115,stable,1
840,19117,stable,2
841,19119,stable,2
842,19121,stable,2
843,19123,stable,2
844,19125,stable,2
845,19127,rising,2
846,19129,stable,2
847,19131,rising,2
849,19135,rising,1
850,19137,rising,1
851,19139,rising,1
852,19141,stable,2
854,19145,stable,2
855,19147,rising,1
857,19151,stable,2
858,19153,stable,2
859,19155,rising,1
860,19157,stable,2
862,19161,stable,2
863,19163,rising,1
865,19167,rising,1
866,19169,stable,2
867,19171,rising,1
869,19175,stable,2
871,19179,stable,2
873,19183,rising,1
874,19185,stable,2
875,19187,stable,2
876,19189,stable,2
878,19193,rising,1
879,19195,rising,1
880,19197,stable,2
986,21001,rising,1
989,21007,stable,2
993,21015,rising,1
994,21017,stable,2
995,21019,stable,2
