,fips,recent_trend_cat,predictions
2853,51087,stable,2
2868,51117,rising,2
2870,51121,stable,2
2879,51143,falling,2
2882,51149,stable,2
2883,51153,stable,2
2884,51155,stable,2
2887,51161,stable,2
2890,51167,stable,2
2892,51171,stable,2
2894,51175,stable,2
2898,51183,stable,2
2900,51187,stable,2
2905,51199,stable,2
2910,51550,stable,2
2913,51590,rising,1
2919,51640,rising,1
2922,51670,stable,2
2924,51680,rising,1
2925,51683,stable,2
2929,51710,stable,2
2931,51730,rising,1
2933,51740,stable,2
2934,51750,stable,2
2935,51760,falling,2
2936,51770,rising,1
2937,51775,stable,1
2939,51800,stable,2
2940,51810,stable,2
2941,51820,rising,1
2944,53001,stable,2
2946,53005,stable,2
2947,53007,stable,2
2948,53009,rising,1
2949,53011,falling,2
2951,53015,falling,2
2954,53021,stable,2
2956,53025,stable,2
2957,53027,stable,2
2959,53031,stable,2
2960,53033,stable,2
2962,53037,falling,2
2965,53043,stable,2
2966,53045,stable,2
2967,53047,stable,2
2968,53049,stable,2
2969,53051,stable,2
2970,53053,stable,2
2971,53055,stable,2
2972,53057,stable,2
2973,53059,stable,2
2974,53061,stable,2
2975,53063,stable,2
2979,53071,stable,2
2980,53073,stable,2
2983,54001,stable,2
2984,54003,stable,2
2987,54009,stable,2
2988,54011,stable,2
2992,54019,stable,2
2994,54023,stable,2
2997,54029,stable,2
2999,54033,stable,2
3002,54039,rising,1
3007,54049,stable,2
3008,54051,rising,1
3009,54053,rising,1
3013,54061,stable,1
3017,54069,stable,2
3019,54073,stable,2
3021,54077,stable,2
3022,54079,stable,2
3023,54081,rising,2
3028,54091,rising,2
3030,54095,stable,2
3032,54099,stable,2
3034,54103,rising,1
3036,54107,stable,2
3038,55001,rising,1
3039,55003,stable,2
3041,55007,stable,2
3042,55009,stable,2
3045,55015,stable,2
3046,55017,stable,2
3047,55019,stable,2
3048,55021,stable,2
3050,55025,rising,1
3051,55027,stable,2
3053,55031,rising,1
3054,55033,stable,2
3055,55035,stable,2
3057,55039,rising,1
3060,55045,stable,2
3061,55047,stable,2
3065,55055,rising,1
3066,55057,stable,2
3067,55059,stable,2
3069,55063,rising,1
3072,55069,stable,1
3073,55071,rising,2
3074,55073,rising,2
3075,55075,stable,2
3076,55077,stable,2
3078,55079,rising,1
3081,55085,stable,2
3082,55087,stable,2
3083,55089,stable,2
3087,55097,stable,2
3088,55099,stable,2
3089,55101,rising,1
3091,55105,stable,2
3095,55113,stable,2
3097,55117,stable,2
3098,55119,stable,2
3100,55123,stable,2
3104,55131,stable,2
3105,55133,rising,1
3106,55135,stable,2
3107,55137,stable,2
3108,55139,stable,2
3109,55141,stable,2
3111,56003,stable,1
3112,56005,stable,2
3113,56007,stable,2
3114,56009,stable,2
3116,56013,stable,2
3120,56021,stable,2
3121,56023,stable,2
3122,56025,stable,2
3128,56037,rising,1
3130,56041,stable,1
3132,56045,stable,1
